planificacion_slug;convocatoria_slug;adjudicacion_slug;precalificacion_slug;convenio_slug;nro_licitacion;nombre_licitacion;tipo_procedimiento;categoria;convocante;_etapa_licitacion;etapa_licitacion;fecha_entrega_oferta;tipo_licitacion;fecha_estimada;fecha_publicacion_convocatoria;geo
301612-adquisicion-uniformes-funcionarios-institucion-1;301612-adquisicion-uniformes-funcionarios-institucion-1;301612-adquisicion-uniformes-funcionarios-institucion-1;;;301612;Adquisicion de Uniformes para Funcionarios de la Institucion;LPN - Licitación Pública Nacional;10 - Textiles, vestuarios y calzados;Industria Nacional del Cemento / Empresas Públicas;ADJ;Adjudicada;23/2/2016 10:00;tradicional;30/4/2016 00:00;30/12/2015 14:59;
300194-servicio-telefonia-celular-1;300194-servicio-telefonia-celular-1;300194-servicio-telefonia-celular-1;;;300194;Servicio de telefonía celular;CD - Contratación Directa;7 - Servicios Técnicos;Honorable Cámara de Senadores / Poder Legislativo;ADJ;Adjudicada;20/1/2016 09:00;tradicional;31/10/2015 00:00;30/12/2015 14:57;
292265-servicio-internet-fijo-movil;292265-servicio-internet-fijo-movil-1;292265-servicio-internet-fijo-movil-1;;;292265;SERVICIO DE INTERNET FIJO Y MOVIL;LPN - Licitación Pública Nacional;7 - Servicios Técnicos;Ministerio de Justicia  / Poder Ejecutivo;ADJ;Adjudicada;27/1/2016 08:00;tradicional;30/11/2015 00:00;30/12/2015 14:55;
302065-adquisicion-cosechadoras-algodon-ad-referendum-2016-1;302065-adquisicion-cosechadoras-algodon-ad-referendum-2016-1;302065-adquisicion-cosechadoras-algodon-ad-referendum-2016-1;;;302065;ADQUISICIÓN DE COSECHADORAS DE ALGODÓN - AD REFERÉNDUM 2016;LPN - Licitación Pública Nacional;22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte;Ministerio de Agricultura y Ganadería / Poder Ejecutivo;ADJ;Adjudicada;25/1/2016 09:00;tradicional;29/2/2016 00:00;30/12/2015 14:52;
301046-adquisicion-productos-alimenticios-1;301046-adquisicion-productos-alimenticios-1;301046-adquisicion-productos-alimenticios-1;;;301046;ADQUISICION DE PRODUCTOS ALIMENTICIOS;LPN - Licitación Pública Nacional;14 - Productos Alimenticios;Ministerio de Defensa Nacional / Poder Ejecutivo;ADJ;Adjudicada;25/1/2016 09:15;tradicional;31/3/2016 00:00;30/12/2015 14:46;
300737-servicio-decoracion-alquileres-eventos-facultad-derecho-una-1;300737-servicio-decoracion-alquileres-eventos-facultad-derecho-una-1;300737-servicio-decoracion-alquileres-eventos-facultad-derecho-una-1;;;300737;Servicio de Decoración y Alquileres para Eventos para la Facultad de Derecho UNA;CD - Contratación Directa;9 - Servicios de ceremonial, gastronomico y funerarios;Facultad de Derecho y Ciencias Sociales / Universidad Nacional de Asunción / Universidades Nacionales;ADJ;Adjudicada;21/1/2016 09:00;tradicional;30/11/2015 00:00;30/12/2015 14:43;
301681-construccion-colocacion-techo-edificio-fcea-pac-ad-referendum-1;301681-construccion-colocacion-techo-edificio-fcea-pac-ad-referendum-1;301681-construccion-colocacion-techo-edificio-fcea-pac-ad-referendum-1;;;301681;Construcción y Colocación de Techo para el Edificio de la FCEA - Pac Ad Referendum;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Universidad Nacional de Concepción / Universidades Nacionales;ADJ;Adjudicada;20/1/2016 09:45;tradicional;31/1/2016 00:00;30/12/2015 14:23;
299772-servicios-mantenimiento-reparacion-d-acondicionadores-aire-patrulla-caminera-1;299772-cd-n-60-2015-servicios-mantenimiento-reparacion-acondicionadores-aire-patrulla-camin-1;299772-cd-n-60-2015-servicios-mantenimiento-reparacion-acondicionadores-aire-patrulla-camin-1;;;299772;CD N° 60/2015 SERVICIOS DE MANTENIMIENTO Y REPARACION DE ACONDICIONADORES DE AIRE DE LA PATRULLA CAMINERA - AD REFERENDUM AL PGN 2016 ;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Ministerio de Obras Públicas y Comunicaciones / Poder Ejecutivo;ADJ;Adjudicada;20/1/2016 09:00;tradicional;31/12/2015 00:00;30/12/2015 14:19;
302056-servicio-publicidad-1;302056-servicio-publicidad-1;302056-servicio-publicidad-1;;;302056;Servicio de Publicidad;CO - Concurso de Ofertas;8 - Publicidad y Propaganda;Industria Nacional del Cemento / Empresas Públicas;ADJ;Adjudicada;11/1/2016 10:00;tradicional;31/1/2016 00:00;30/12/2015 14:15;
301714-servicios-tecnicos-profesionales-instalacion-ruter-mantenimiento-ad-referendum-1;301714-servicios-tecnicos-profesionales-construccion-red-fibra-optica-ad-referendum-1;301714-servicios-tecnicos-profesionales-construccion-red-fibra-optica-ad-referendum-1;;;301714;Servicios Técnicos y Profesionales - Construcción de Red de Fibra Óptica - Ad Referéndum;CD - Contratación Directa;7 - Servicios Técnicos;Secretaria Nacional Anticorrupcion / Presidencia de la República / Poder Ejecutivo;ADJ;Adjudicada;7/1/2016 08:00;tradicional;31/12/2015 00:00;30/12/2015 12:03;
